
===== SHEET: gl_get_glider_data_slocum__2023  (18441x9) =====
DEPLOYMENT	GLIDER PARAMETER	AVAILABLE DATA	JSON FILE	EGO PARAMETER	EGO SENSOR	EGO SENSOR_MAKER	EGO SENSOR_MODEL	EGO SENSOR_SERIAL_NO
ammonite_20070118	c_gps_on	1						
ammonite_20070118	c_heading	1						
ammonite_20070118	c_heap_measurement_period	1						
ammonite_20070118	c_hs2_on	1						
ammonite_20070118	c_hydrophone_drive_num	1						
ammonite_20070118	c_hydrophone_duration	1						
ammonite_20070118	c_hydrophone_gain	1						
ammonite_20070118	c_hydrophone_num_channels	1						
ammonite_20070118	c_hydrophone_on	1						
ammonite_20070118	c_hydrophone_post_delay	1						
ammonite_20070118	c_hydrophone_post_pings	1						
ammonite_20070118	c_hydrophone_pre_delay	1						
ammonite_20070118	c_hydrophone_pre_pings	1						
ammonite_20070118	c_hydrophone_sample_rate	1						
ammonite_20070118	c_iridium_atok_timeout	1						
ammonite_20070118	c_iridium_await_connect_max	1						
ammonite_20070118	c_iridium_cmd_echo	1						
ammonite_20070118	c_iridium_lead_zeros	1						
ammonite_20070118	c_iridium_no_char_timeout	1						
ammonite_20070118	c_iridium_on	1						
ammonite_20070118	c_iridium_phone_num	1						
ammonite_20070118	c_iridium_power_on_delay	1						
ammonite_20070118	c_iridium_redial_delay	1						
ammonite_20070118	c_iridium_redials_per_on_off	1						
ammonite_20070118	c_iridium_register	1						
ammonite_20070118	c_iridium_time_til_callback	1						
ammonite_20070118	c_leakdetect_recall	1						
ammonite_20070118	c_leakdetect_time	1						
ammonite_20070118	c_motebb_on	1						
ammonite_20070118	c_neutral_oil_vol_deadband	1						
ammonite_20070118	c_ocr504i_num_fields_to_send	1						
ammonite_20070118	c_ocr504i_on	1						
ammonite_20070118	c_ocr504r_num_fields_to_send	1						
ammonite_20070118	c_ocr504r_on	1						
ammonite_20070118	c_ocr507i_num_fields_to_send	1						
ammonite_20070118	c_ocr507i_on	1						
ammonite_20070118	c_ocr507r_num_fields_to_send	1						
ammonite_20070118	c_ocr507r_on	1						
ammonite_20070118	c_oxy3835_num_fields_to_send	1						
ammonite_20070118	c_oxy3835_on	1						
ammonite_20070118	c_oxy3835_wphase_num_fields_to_send	1						
ammonite_20070118	c_oxy3835_wphase_on	1						
ammonite_20070118	c_pinger_on	1						
ammonite_20070118	c_pitch	1						
ammonite_20070118	c_pressure_recall	1						
ammonite_20070118	c_pressure_time	1						
ammonite_20070118	c_profile_on	1						
ammonite_20070118	c_profile_recall	1						
ammonite_20070118	c_roll	0						
ammonite_20070118	c_sam_num_fields_to_send	1						
ammonite_20070118	c_sam_on	1						
ammonite_20070118	c_science_all_on	1						
ammonite_20070118	c_science_all_on_enabled	1						
ammonite_20070118	c_science_on	1						
ammonite_20070118	c_science_printout	1						
ammonite_20070118	c_science_stress_on	0						
ammonite_20070118	c_speed	1						
ammonite_20070118	c_thermal_acc_pres_recall	1						
ammonite_20070118	c_thermal_acc_pres_time	1						
ammonite_20070118	c_thermal_pump	0						
ammonite_20070118	c_thermal_updown	0						
ammonite_20070118	c_thermal_valve	1						
ammonite_20070118	c_viper_collect_timeout	1						
ammonite_20070118	c_viper_detection_done_timeout	1						
ammonite_20070118	c_viper_gain	1						
